,year,day,hour,forecast,temp,hum
0,2018,1,2,25,2.0,40.0
1,2018,1,2,46,-5.0,60.0
2,2018,1,5,25,2.0,40.0
3,2018,1,5,46,0.0,40.0
4,2018,1,8,25,-2.0,60.0
5,2018,1,8,46,0.0,40.0
6,2018,1,11,25,-3.0,60.0
7,2018,1,11,46,-3.0,55.0
8,2018,1,14,25,-4.0,60.0
9,2018,1,14,46,-4.0,60.0
10,2018,1,17,25,-4.0,60.0
11,2018,1,17,46,-5.0,65.0
12,2018,1,20,25,-6.0,65.0
13,2018,1,20,46,-5.0,60.0
14,2018,1,23,25,-4.0,60.0
15,2018,1,23,46,-5.0,65.0
16,2018,2,2,25,-1.0,45.0
17,2018,2,2,46,-4.0,60.0
18,2018,2,5,25,-1.0,45.0
19,2018,2,5,46,-1.0,45.0
20,2018,2,8,25,-3.0,50.0
21,2018,2,8,46,-1.0,45.0
22,2018,2,11,25,-4.0,55.0
23,2018,2,11,46,-3.0,50.0
24,2018,2,14,25,-5.0,60.0
25,2018,2,14,46,-4.0,55.0
26,2018,2,17,25,-5.0,60.0
27,2018,2,17,46,-5.0,60.0
28,2018,2,20,25,-6.0,65.0
29,2018,2,20,46,-5.0,70.0
30,2018,2,23,25,-5.0,60.0
31,2018,2,23,46,-5.0,70.0
32,2018,3,2,25,-2.0,45.0
33,2018,3,2,46,-4.0,65.0
34,2018,3,5,25,-1.0,45.0
35,2018,3,5,46,1.0,45.0
36,2018,3,8,25,-3.0,50.0
37,2018,3,8,46,1.0,45.0
38,2018,3,11,25,-4.0,55.0
39,2018,3,11,46,-1.0,60.0
40,2018,3,14,25,-5.0,60.0
41,2018,3,14,46,-2.0,65.0
42,2018,3,17,25,-5.0,70.0
43,2018,3,17,46,-3.0,65.0
44,2018,3,20,25,-5.0,75.0
45,2018,3,20,46,-3.0,65.0
46,2018,3,23,25,-3.0,70.0
47,2018,3,23,46,-4.0,65.0
48,2018,4,2,25,1.0,45.0
49,2018,4,2,46,-3.0,60.0
50,2018,4,5,25,1.0,45.0
51,2018,4,5,46,1.0,40.0
52,2018,4,8,25,-1.0,60.0
53,2018,4,8,46,1.0,40.0
54,2018,4,11,25,-2.0,60.0
55,2018,4,11,46,-2.0,60.0
56,2018,4,14,25,-3.0,60.0
57,2018,4,14,46,-3.0,75.0
58,2018,4,17,25,-3.0,65.0
59,2018,4,17,46,-4.0,75.0
60,2018,4,20,25,-4.0,65.0
61,2018,4,20,46,-5.0,80.0
62,2018,4,23,25,-3.0,65.0
63,2018,4,23,46,-5.0,85.0
