지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
637,2019-01-01 00:00,-3.1,228.7,1.5,0,1033.2,1035.8,,0,0
637,2019-01-01 01:00,-2.4,326.7,.8,0,1032.9,1035.5,,0,0
637,2019-01-01 02:00,-2.2,280.1,1.8,0,1033,1035.6,,0,0
637,2019-01-01 03:00,-3.2,282.2,1.4,0,1033.3,1035.9,,0,0
637,2019-01-01 04:00,-4.1,0,.4,0,1032.7,1035.3,,0,0
637,2019-01-01 05:00,-5.5,247.8,1.3,0,1032.5,1035.1,,0,0
637,2019-01-01 06:00,-4.9,257.9,1,0,1032.3,1034.9,,0,0
637,2019-01-01 07:00,-4.6,50.8,1.2,0,1031.7,1034.3,,0,0
637,2019-01-01 08:00,-5.7,0,.1,0,1031.9,1034.5,,0,0
637,2019-01-01 09:00,-3.8,0,.4,0,1032.1,1034.7,,0,0
637,2019-01-01 10:00,-2.7,39.9,1,0,1032.3,1034.9,,0,0
637,2019-01-01 11:00,-1.6,28.3,.7,0,1032.1,1034.7,,0,0
637,2019-01-01 12:00,-1.5,56.2,1.8,0,1030.9,1033.5,,0,0
637,2019-01-01 13:00,-.6,297.1,1.4,0,1030,1032.6,,0,0
637,2019-01-01 14:00,-2.3,351.8,1.3,0,1029.9,1032.5,,0,0
637,2019-01-01 15:00,-1.7,0,.2,0,1030,1032.6,,0,0
637,2019-01-01 16:00,-.2,294,4.6,0,1029.8,1032.3,,0,0
637,2019-01-01 17:00,-.7,296.5,4,0,1030.3,1032.9,,0,0
637,2019-01-01 18:00,-1.4,285.1,3.6,0,1030.5,1033.1,,0,0
637,2019-01-01 19:00,-2.1,291.6,2.9,0,1031.1,1033.7,,0,0
637,2019-01-01 20:00,-2.3,288.5,3.9,0,1031.1,1033.7,,0,0
637,2019-01-01 21:00,-2.6,289.4,3.8,0,1031.3,1033.9,,0,0
637,2019-01-01 22:00,-2.8,309.9,2.3,0,1031.5,1034.1,,0,0
637,2019-01-01 23:00,-3,306.6,2.4,0,1032,1034.6,,0,0
637,2019-01-02 00:00,-4,354.9,1,0,1032,1034.6,,0,0
637,2019-01-02 01:00,-5,0,.4,0,1032.3,1034.9,,0,0
637,2019-01-02 02:00,-6.8,0,.3,0,1032.5,1035.1,,0,0
637,2019-01-02 03:00,-7.9,223.3,1,0,1032.6,1035.2,,0,0
637,2019-01-02 04:00,-8,212.2,.9,0,1032,1034.6,,0,0
637,2019-01-02 05:00,-8.4,218.5,1,0,1032,1034.6,,0,0
637,2019-01-02 06:00,-8.6,204,.8,0,1032.2,1034.8,,0,0
637,2019-01-02 07:00,-8.6,212.1,.8,0,1032.7,1035.3,,0,0
637,2019-01-02 08:00,-9,213,.6,0,1033.2,1035.8,,0,0
637,2019-01-02 09:00,-7.4,191.8,1.4,0,1034.1,1036.7,,0,0
637,2019-01-02 10:00,-4.7,190.7,1.2,0,1034.2,1036.8,,0,0
637,2019-01-02 11:00,-2.4,178.6,1,0,1033.7,1036.3,,0,0
637,2019-01-02 12:00,-.5,74.5,1.6,0,1032.5,1035.1,,0,0
637,2019-01-02 13:00,.4,334.6,2.1,0,1031.9,1034.4,,0,0
637,2019-01-02 14:00,.3,302.4,3.5,0,1031,1033.5,,0,0
637,2019-01-02 15:00,.1,305.8,3.5,0,1031.3,1033.9,,0,0
637,2019-01-02 16:00,-.5,297.1,4,0,1031.4,1034,,0,0
637,2019-01-02 17:00,-1.3,298.9,3.4,0,1031.3,1033.9,,0,0
637,2019-01-02 18:00,-2.8,295.6,2.3,0,1031.8,1034.4,,0,0
637,2019-01-02 19:00,-4,0,.1,0,1032,1034.6,,0,0
637,2019-01-02 20:00,-5.2,226.9,1,0,1032.1,1034.7,,0,0
637,2019-01-02 21:00,-5.9,234.7,.9,0,1032,1034.6,,0,0
637,2019-01-02 22:00,-6.4,230.5,1.4,0,1032,1034.6,,0,0
637,2019-01-02 23:00,-7.3,230,1.4,0,1032.3,1034.9,,0,0
637,2019-01-03 00:00,-8.1,205,.8,0,1032.6,1035.2,,0,0
637,2019-01-03 01:00,-8.1,0,.2,0,1032.5,1035.1,,0,0
637,2019-01-03 02:00,-8,227.1,1.3,0,1032.8,1035.4,,0,0
637,2019-01-03 03:00,-8.7,237,.9,0,1033.1,1035.7,,0,0
637,2019-01-03 04:00,-9.1,0,.4,0,1033,1035.6,,0,0
637,2019-01-03 05:00,-9.5,234.7,1.3,0,1033.2,1035.8,,0,0
637,2019-01-03 06:00,-9.1,218.7,1.5,0,1033.3,1035.9,,0,0
637,2019-01-03 07:00,-10.2,140.5,.7,0,1033.2,1035.9,,0,0
637,2019-01-03 08:00,-10.3,215.5,1.1,0,1033.7,1036.4,,0,0
637,2019-01-03 09:00,-8.1,220.3,1.2,0,1034.4,1037,,0,0
637,2019-01-03 10:00,-4.8,215.6,1.9,0,1035,1037.6,,0,0
637,2019-01-03 11:00,-1.8,211.9,1.5,0,1035,1037.6,,0,0
637,2019-01-03 12:00,.7,304.6,2,0,1033.9,1036.4,,0,0
637,2019-01-03 13:00,1.9,6.7,1.8,0,1032.8,1035.3,,0,0
637,2019-01-03 14:00,2.8,358.2,1,0,1032.4,1034.9,,0,0
637,2019-01-03 15:00,2.7,319.2,1.5,0,1032.1,1034.6,,0,0
637,2019-01-03 16:00,2.1,289.1,2.7,0,1032.1,1034.6,,0,0
637,2019-01-03 17:00,1.3,277.4,1.4,0,1031.8,1034.3,,0,0
637,2019-01-03 18:00,-1,279.1,1.2,0,1032.1,1034.7,,0,0
