plant1_train.mea_ddhr,plant1_train.tem_in_loc1,plant1_train.hum_in_loc1,plant1_train.tem_coil_loc1,plant1_train.tem_in_loc2,plant1_train.hum_in_loc2,plant1_train.tem_coil_loc2,plant1_train.tem_in_loc3,plant1_train.hum_in_loc3,plant1_train.tem_coil_loc3,plant1_train.tem_out_loc1,plant1_train.hum_out_loc1,temp_24,hum_24,temp_48,hum_48,plant1_train.cond_loc1,plant1_train.cond_loc2,plant1_train.cond_loc3
2016-04-01 12:00:00,16.0,28.0,10.0,15.0,27.0,11.0,14.0,30.0,9.0,18.0,20.0,20.0,42,11.0,78,0.0,0.0,0.0
2016-04-01 15:00:00,18.0,24.0,14.0,18.0,21.0,14.0,16.0,27.0,12.0,17.0,23.0,20.700001,37,12.1,68,0.0,0.0,0.0
2016-04-01 18:00:00,17.0,28.0,14.0,17.0,29.0,14.0,15.0,38.0,12.0,12.0,52.0,17.5,40,13.9,69,0.0,0.0,0.0
2016-04-01 21:00:00,16.0,38.0,12.0,15.0,36.0,12.0,14.0,41.0,11.0,11.0,55.0,13.3,59,12.2,69,0.0,0.0,0.0
2016-04-02 12:00:00,17.0,35.0,13.0,16.0,38.0,12.0,15.0,40.0,11.0,22.0,23.0,11.8,68,12.0,85,0.0,0.0,0.0
2016-04-02 15:00:00,19.0,32.0,14.0,18.0,34.0,13.0,17.0,41.0,12.0,17.0,42.0,12.9,69,14.4,69,0.0,0.0,0.0
2016-04-02 18:00:00,19.0,40.0,13.0,18.0,40.0,14.0,17.0,46.0,13.0,17.0,48.0,12.0,72,17.0,60,0.0,0.0,0.0
2016-04-02 21:00:00,17.0,49.0,14.0,16.0,51.0,13.0,15.0,56.0,12.0,12.0,70.0,10.2,81,15.4,58,0.0,0.0,0.0
2016-04-03 12:00:00,16.1,61.0,13.0,15.0,64.0,12.0,13.0,70.0,12.0,13.0,63.0,15.2,50,11.0,48,0.0,0.0,0.0
2016-04-03 15:00:00,17.0,60.0,14.0,15.0,66.0,13.0,14.0,71.0,12.0,12.0,69.0,17.1,40,16.200001,28,0.0,0.0,0.0
2016-04-03 18:00:00,16.0,50.0,13.0,14.0,55.0,14.0,13.0,60.0,10.0,11.0,62.0,14.4,39,17.5,27,0.0,0.0,0.0
2016-04-03 21:00:00,16.0,52.0,12.0,14.0,58.0,12.0,13.0,62.0,9.0,11.0,63.0,10.3,53,14.6,31,0.0,0.0,0.0
2016-04-04 12:00:00,17.0,26.0,14.0,16.0,33.0,13.0,14.0,40.0,12.0,16.0,44.0,16.299999,27,11.7,38,0.0,0.0,0.0
2016-04-04 15:00:00,18.0,25.0,14.0,16.0,31.0,13.0,15.0,38.0,12.0,14.0,42.0,17.6,27,19.0,29,0.0,0.0,0.0
2016-04-04 18:00:00,18.0,18.0,15.0,17.0,21.0,15.0,16.0,28.0,13.0,13.0,35.0,14.6,31,19.4,36,0.0,0.0,0.0
2016-04-04 21:00:00,17.0,15.0,16.0,16.0,18.0,15.0,15.0,24.0,14.0,11.0,35.0,11.1,55,16.4,61,0.0,0.0,0.0
2016-04-05 12:00:00,17.0,30.0,14.0,16.0,30.0,13.0,15.0,35.0,13.0,14.0,42.0,19.299999,24,12.0,82,0.0,0.0,0.0
2016-04-05 15:00:00,18.0,30.0,15.0,17.0,30.0,14.0,16.0,34.0,13.0,14.0,44.0,22.200001,19,16.1,64,0.0,0.0,0.0
