index,temp_25,temp_46,humid_25,humid_46
2016-03-01 11:00:00,6.8,6.0,64.0,90.0
2016-03-01 14:00:00,8.0,9.0,56.0,73.0
2016-03-01 17:00:00,6.1,12.1,60.0,60.0
2016-03-01 20:00:00,4.9,11.0,73.0,72.0
2016-03-01 23:00:00,3.0,7.3,80.0,82.0
2016-03-02 02:00:00,2.8,5.9,86.0,91.0
2016-03-02 05:00:00,3.7,7.6,90.0,84.0
2016-03-02 08:00:00,5.8,8.7,79.0,84.0
2016-03-02 11:00:00,9.7,11.1,59.0,78.0
2016-03-02 14:00:00,12.1,15.0,56.0,57.0
2016-03-02 17:00:00,11.0,16.0,65.0,61.0
2016-03-02 20:00:00,8.9,14.9,73.0,75.0
2016-03-02 23:00:00,7.9,13.9,80.0,85.0
2016-03-03 02:00:00,7.9,12.1,86.0,89.0
2016-03-03 05:00:00,8.6,11.1,85.0,81.0
2016-03-03 08:00:00,10.7,11.1,78.0,81.0
2016-03-03 11:00:00,14.9,14.1,59.0,71.0
2016-03-03 14:00:00,16.0,17.0,60.0,74.0
2016-03-03 17:00:00,14.9,14.9,75.0,89.0
2016-03-03 20:00:00,13.1,12.1,84.0,86.0
2016-03-03 23:00:00,12.0,7.9,89.0,75.0
2016-03-04 02:00:00,11.1,5.6,84.0,80.0
2016-03-04 05:00:00,11.0,3.9,81.0,88.0
2016-03-04 08:00:00,14.1,3.3,73.0,88.0
2016-03-04 11:00:00,16.799999,4.9,80.0,85.0
2016-03-04 14:00:00,15.4,9.9,85.0,63.0
2016-03-04 17:00:00,12.5,10.9,90.0,49.0
2016-03-04 20:00:00,9.3,9.1,95.0,48.0
2016-03-04 23:00:00,6.1,6.9,92.0,68.0
2016-03-05 02:00:00,5.1,4.9,88.0,75.0
2016-03-05 05:00:00,4.2,3.6,89.0,80.0
2016-03-05 08:00:00,5.3,2.7,84.0,82.0
2016-03-05 11:00:00,9.6,6.7,64.0,65.0
2016-03-05 14:00:00,10.9,13.1,48.0,48.0
2016-03-05 17:00:00,8.6,14.7,49.0,55.0
2016-03-05 20:00:00,6.7,10.6,69.0,74.0
2016-03-05 23:00:00,5.0,8.6,75.0,83.0
2016-03-06 02:00:00,2.7,6.6,81.0,88.0
2016-03-06 05:00:00,2.7,5.3,79.0,86.0
2016-03-06 08:00:00,6.6,4.6,66.0,79.0
2016-03-06 11:00:00,13.2,6.3,54.0,70.0
2016-03-06 14:00:00,14.4,8.8,62.0,48.0
2016-03-06 17:00:00,11.7,8.7,73.0,41.0
2016-03-06 20:00:00,9.5,6.1,83.0,47.0
2016-03-06 23:00:00,8.1,3.9,90.0,51.0
2016-03-07 02:00:00,6.8,1.9,90.0,51.0
2016-03-07 05:00:00,5.0,0.1,71.0,60.0
2016-03-07 08:00:00,6.1,-0.1,61.0,55.0
2016-03-07 11:00:00,8.0,1.7,45.0,55.0
2016-03-07 14:00:00,8.7,3.7,39.0,45.0
2016-03-07 17:00:00,6.1,4.9,43.0,40.0
2016-03-07 20:00:00,4.1,3.9,53.0,40.0
2016-03-07 23:00:00,1.1,1.1,60.0,50.0
2016-03-08 02:00:00,0.1,-1.0,60.0,55.0
2016-03-08 05:00:00,-1.1,-2.1,55.0,55.0
2016-03-08 08:00:00,1.9,-3.2,55.0,50.0
2016-03-08 11:00:00,3.8,-0.8,40.0,45.0
2016-03-08 14:00:00,5.1,1.1,35.0,39.0
2016-03-08 17:00:00,1.9,2.9,40.0,39.0
2016-03-08 20:00:00,-0.3,1.1,49.0,41.0
2016-03-08 23:00:00,-1.2,-0.7,53.0,50.0
2016-03-09 02:00:00,-2.1,-2.8,53.0,55.0
2016-03-09 05:00:00,-3.8,-3.9,49.0,59.0
2016-03-09 08:00:00,-0.9,-4.1,41.0,55.0
2016-03-09 11:00:00,0.9,-1.1,35.0,39.0
2016-03-09 14:00:00,2.8,0.8,35.0,30.0
