datetime,year,month,day,hour,temp_24,hum_24,temp_48,hum_48
2016-03-01 12:00:00,2016,3,1,12,6.8,64,6.0,90
2016-03-01 15:00:00,2016,3,1,15,8.0,56,9.0,73
2016-03-01 18:00:00,2016,3,1,18,6.1,60,12.1,60
2016-03-01 21:00:00,2016,3,1,21,4.9,73,11.0,72
2016-03-02 00:00:00,2016,3,2,0,3.0,80,7.3,82
2016-03-02 03:00:00,2016,3,2,3,2.8,86,5.9,91
2016-03-02 06:00:00,2016,3,2,6,3.7,90,7.6,84
2016-03-02 09:00:00,2016,3,2,9,5.8,79,8.7,84
2016-03-02 12:00:00,2016,3,2,12,9.7,59,11.1,78
2016-03-02 15:00:00,2016,3,2,15,12.1,56,15.0,57
2016-03-02 18:00:00,2016,3,2,18,11.0,65,16.0,61
2016-03-02 21:00:00,2016,3,2,21,8.9,73,14.9,75
2016-03-03 00:00:00,2016,3,3,0,7.9,80,13.9,85
2016-03-03 03:00:00,2016,3,3,3,7.9,86,12.1,89
2016-03-03 06:00:00,2016,3,3,6,8.6,85,11.1,81
2016-03-03 09:00:00,2016,3,3,9,10.7,78,11.1,81
2016-03-03 12:00:00,2016,3,3,12,14.9,59,14.1,71
2016-03-03 15:00:00,2016,3,3,15,16.0,60,17.0,74
2016-03-03 18:00:00,2016,3,3,18,14.9,75,14.9,89
2016-03-03 21:00:00,2016,3,3,21,13.1,84,12.1,86
2016-03-04 00:00:00,2016,3,4,0,12.0,89,7.9,75
2016-03-04 03:00:00,2016,3,4,3,11.1,84,5.6,80
2016-03-04 06:00:00,2016,3,4,6,11.0,81,3.9,88
2016-03-04 09:00:00,2016,3,4,9,14.1,73,3.3,88
2016-03-04 12:00:00,2016,3,4,12,16.799999,80,4.9,85
2016-03-04 15:00:00,2016,3,4,15,15.4,85,9.9,63
2016-03-04 18:00:00,2016,3,4,18,12.5,90,10.9,49
2016-03-04 21:00:00,2016,3,4,21,9.3,95,9.1,48
2016-03-05 00:00:00,2016,3,5,0,6.1,92,6.9,68
2016-03-05 03:00:00,2016,3,5,3,5.1,88,4.9,75
2016-03-05 06:00:00,2016,3,5,6,4.2,89,3.6,80
2016-03-05 09:00:00,2016,3,5,9,5.3,84,2.7,82
2016-03-05 12:00:00,2016,3,5,12,9.6,64,6.7,65
2016-03-05 15:00:00,2016,3,5,15,10.9,48,13.1,48
2016-03-05 18:00:00,2016,3,5,18,8.6,49,14.7,55
2016-03-05 21:00:00,2016,3,5,21,6.7,69,10.6,74
2016-03-06 00:00:00,2016,3,6,0,5.0,75,8.6,83
2016-03-06 03:00:00,2016,3,6,3,2.7,81,6.6,88
2016-03-06 06:00:00,2016,3,6,6,2.7,79,5.3,86
