,year,month,day,hour,forecast,temp,hum
0,2018,1,1,11,25,2,40
1,2018,1,1,11,46,-5,60
2,2018,1,1,14,25,2,40
3,2018,1,1,14,46,0,40
4,2018,1,1,17,25,-2,60
5,2018,1,1,17,46,0,40
6,2018,1,1,20,25,-3,60
7,2018,1,1,20,46,-3,55
8,2018,1,1,23,25,-4,60
9,2018,1,1,23,46,-4,60
10,2018,1,1,2,25,-4,60
11,2018,1,1,2,46,-5,65
12,2018,1,1,5,25,-6,65
13,2018,1,1,5,46,-5,60
14,2018,1,1,8,25,-4,60
15,2018,1,1,8,46,-5,65
16,2018,1,2,11,25,-1,45
17,2018,1,2,11,46,-4,60
18,2018,1,2,14,25,-1,45
19,2018,1,2,14,46,-1,45
20,2018,1,2,17,25,-3,50
21,2018,1,2,17,46,-1,45
22,2018,1,2,20,25,-4,55
23,2018,1,2,20,46,-3,50
24,2018,1,2,23,25,-5,60
25,2018,1,2,23,46,-4,55
26,2018,1,2,2,25,-5,60
27,2018,1,2,2,46,-5,60
28,2018,1,2,5,25,-6,65
29,2018,1,2,5,46,-5,70
30,2018,1,2,8,25,-5,60
31,2018,1,2,8,46,-5,70
32,2018,1,3,11,25,-2,45
33,2018,1,3,11,46,-4,65
34,2018,1,3,14,25,-1,45
35,2018,1,3,14,46,1,45
36,2018,1,3,17,25,-3,50
37,2018,1,3,17,46,1,45
38,2018,1,3,20,25,-4,55
39,2018,1,3,20,46,-1,60
40,2018,1,3,23,25,-5,60
41,2018,1,3,23,46,-2,65
42,2018,1,3,2,25,-5,70
43,2018,1,3,2,46,-3,65
44,2018,1,3,5,25,-5,75
45,2018,1,3,5,46,-3,65
46,2018,1,3,8,25,-3,70
47,2018,1,3,8,46,-4,65
48,2018,1,4,11,25,1,45
49,2018,1,4,11,46,-3,60
50,2018,1,4,14,25,1,45
51,2018,1,4,14,46,1,40
52,2018,1,4,17,25,-1,60
53,2018,1,4,17,46,1,40
54,2018,1,4,20,25,-2,60
55,2018,1,4,20,46,-2,60
56,2018,1,4,23,25,-3,60
57,2018,1,4,23,46,-3,75
58,2018,1,4,2,25,-3,65
59,2018,1,4,2,46,-4,75
60,2018,1,4,5,25,-4,65
61,2018,1,4,5,46,-5,80
62,2018,1,4,8,25,-3,65
63,2018,1,4,8,46,-5,85
64,2018,1,5,11,25,1,50
65,2018,1,5,11,46,-3,75
66,2018,1,5,14,25,2,45
67,2018,1,5,14,46,1,45
68,2018,1,5,17,25,-2,60
69,2018,1,5,17,46,2,40
70,2018,1,5,20,25,-4,75
71,2018,1,5,20,46,0,55
72,2018,1,5,23,25,-4,80
73,2018,1,5,23,46,-1,60
74,2018,1,5,2,25,-5,80
75,2018,1,5,2,46,-2,75
76,2018,1,5,5,25,-6,80
77,2018,1,5,5,46,-2,75
78,2018,1,5,8,25,-4,75
79,2018,1,5,8,46,-2,85
80,2018,1,6,11,25,1,45
81,2018,1,6,11,46,-2,80
82,2018,1,6,14,25,2,40
83,2018,1,6,14,46,2,60
84,2018,1,6,17,25,0,55
85,2018,1,6,17,46,3,40
86,2018,1,6,20,25,-2,65
87,2018,1,6,20,46,0,60
88,2018,1,6,23,25,-2,70
89,2018,1,6,23,46,0,70
90,2018,1,6,2,25,-3,75
91,2018,1,6,2,46,0,70
92,2018,1,6,5,25,-3,75
93,2018,1,6,5,46,-1,65
94,2018,1,6,8,25,-2,75
95,2018,1,6,8,46,-3,65
96,2018,1,7,11,25,1,55
97,2018,1,7,11,46,-3,60
98,2018,1,7,14,25,2,50
99,2018,1,7,14,46,-1,55
100,2018,1,7,17,25,1,65
101,2018,1,7,17,46,-1,50
102,2018,1,7,20,25,1,75
103,2018,1,7,20,46,-2,55
104,2018,1,7,23,25,0,60
105,2018,1,7,23,46,-2,70
106,2018,1,7,2,25,-2,60
107,2018,1,7,2,46,-3,75
108,2018,1,7,5,25,-3,55
109,2018,1,7,5,46,-5,70
110,2018,1,7,8,25,-3,50
111,2018,1,7,8,46,-7,65
112,2018,1,8,11,25,-1,55
113,2018,1,8,11,46,-6,65
114,2018,1,8,14,25,-1,50
115,2018,1,8,14,46,-5,60
116,2018,1,8,17,25,-2,60
117,2018,1,8,17,46,-5,55
118,2018,1,8,20,25,-2,75
119,2018,1,8,20,46,-6,50
120,2018,1,8,23,25,-1,70
121,2018,1,8,23,46,-7,55
122,2018,1,8,2,25,-4,70
123,2018,1,8,2,46,-8,55
124,2018,1,8,5,25,-7,70
125,2018,1,8,5,46,-9,60
126,2018,1,8,8,25,-6,70
127,2018,1,8,8,46,-10,65
128,2018,1,9,11,25,-4,60
129,2018,1,9,11,46,-10,65
130,2018,1,9,14,25,-5,50
131,2018,1,9,14,46,-8,55
132,2018,1,9,17,25,-6,55
133,2018,1,9,17,46,-8,55
134,2018,1,9,20,25,-7,55
135,2018,1,9,20,46,-9,60
136,2018,1,9,23,25,-8,60
137,2018,1,9,23,46,-9,60
138,2018,1,9,2,25,-9,65
139,2018,1,9,2,46,-9,60
140,2018,1,9,5,25,-10,65
141,2018,1,9,5,46,-10,60
142,2018,1,9,8,25,-10,65
143,2018,1,9,8,46,-11,60
144,2018,1,10,11,25,-8,60
145,2018,1,10,11,46,-10,65
146,2018,1,10,14,25,-8,55
147,2018,1,10,14,46,-6,50
148,2018,1,10,17,25,-9,60
149,2018,1,10,17,46,-6,50
150,2018,1,10,20,25,-9,55
151,2018,1,10,20,46,-7,55
152,2018,1,10,23,25,-9,60
153,2018,1,10,23,46,-8,70
154,2018,1,10,2,25,-10,60
155,2018,1,10,2,46,-8,75
156,2018,1,10,5,25,-11,60
157,2018,1,10,5,46,-7,80
158,2018,1,10,8,25,-10,60
159,2018,1,10,8,46,-7,80
160,2018,1,11,11,25,-7,50
161,2018,1,11,11,46,-5,80
162,2018,1,11,14,25,-5,45
163,2018,1,11,14,46,3,45
164,2018,1,11,17,25,-7,60
165,2018,1,11,17,46,3,50
166,2018,1,11,20,25,-8,60
167,2018,1,11,20,46,-1,65
168,2018,1,11,23,25,-8,80
169,2018,1,11,23,46,-4,75
170,2018,1,11,2,25,-6,80
171,2018,1,11,2,46,-5,85
172,2018,1,11,5,25,-6,80
173,2018,1,11,5,46,-6,90
174,2018,1,11,8,25,-4,80
175,2018,1,11,8,46,-6,85
176,2018,1,12,11,25,2,50
177,2018,1,12,11,46,-4,75
178,2018,1,12,14,25,3,45
179,2018,1,12,14,46,3,55
180,2018,1,12,17,25,-1,70
181,2018,1,12,17,46,5,55
182,2018,1,12,20,25,-3,75
183,2018,1,12,20,46,2,65
184,2018,1,12,23,25,-5,85
185,2018,1,12,23,46,3,65
186,2018,1,12,2,25,-5,85
187,2018,1,12,2,46,2,75
188,2018,1,12,5,25,-6,85
189,2018,1,12,5,46,2,80
190,2018,1,12,8,25,-4,75
191,2018,1,12,8,46,2,85
192,2018,1,13,11,25,4,50
193,2018,1,13,11,46,1,90
194,2018,1,13,14,25,5,50
195,2018,1,13,14,46,6,65
196,2018,1,13,17,25,2,65
197,2018,1,13,17,46,6,55
198,2018,1,13,20,25,2,65
199,2018,1,13,20,46,1,70
200,2018,1,13,23,25,2,75
201,2018,1,13,23,46,-1,75
202,2018,1,13,2,25,2,80
203,2018,1,13,2,46,-2,80
204,2018,1,13,5,25,2,85
205,2018,1,13,5,46,-3,85
206,2018,1,13,8,25,1,95
207,2018,1,13,8,46,-1,85
208,2018,1,14,11,25,6,65
209,2018,1,14,11,46,1,90
210,2018,1,14,14,25,6,55
211,2018,1,14,14,46,4,85
212,2018,1,14,17,25,2,70
213,2018,1,14,17,46,5,80
214,2018,1,14,20,25,-1,80
215,2018,1,14,20,46,3,85
216,2018,1,14,23,25,-3,85
217,2018,1,14,23,46,2,85
218,2018,1,14,2,25,-3,85
219,2018,1,14,2,46,1,85
220,2018,1,14,5,25,-3,85
221,2018,1,14,5,46,0,90
222,2018,1,14,8,25,-1,90
