,year,month,day,hour,forecast,temp,hum
0,2017,1,1,2,25,7.9,65
1,2017,1,1,2,46,-1.5,86
2,2017,1,1,5,25,8.2,64
3,2017,1,1,5,46,5.7,56
4,2017,1,1,8,25,5.2,68
5,2017,1,1,8,46,6.2,48
6,2017,1,1,11,25,2,75
7,2017,1,1,11,46,3.3,64
8,2017,1,1,14,25,-0.2,80
9,2017,1,1,14,46,1.8,75
10,2017,1,1,17,25,-1.2,87
11,2017,1,1,17,46,0.6,90
12,2017,1,1,20,25,-2.5,87
13,2017,1,1,20,46,0.9,94
14,2017,1,1,23,25,-1.4,85
15,2017,1,1,23,46,1.1,90
16,2017,1,2,2,25,4.7,55
17,2017,1,2,2,46,3.1,81
18,2017,1,2,5,25,6.3,50
19,2017,1,2,5,46,6,60
20,2017,1,2,8,25,3.2,65
21,2017,1,2,8,46,6.3,45
22,2017,1,2,11,25,2,76
23,2017,1,2,11,46,4,55
24,2017,1,2,14,25,1,86
25,2017,1,2,14,46,1,72
26,2017,1,2,17,25,0.7,91
27,2017,1,2,17,46,0,77
28,2017,1,2,20,25,1,87
29,2017,1,2,20,46,-0.1,77
30,2017,1,2,23,25,3,83
31,2017,1,2,23,46,-1.3,91
32,2017,1,3,2,25,6.2,60
33,2017,1,3,2,46,-0.2,85
34,2017,1,3,5,25,7.3,45
35,2017,1,3,5,46,4.5,55
36,2017,1,3,8,25,4.8,55
37,2017,1,3,8,46,8.1,54
38,2017,1,3,11,25,2.6,72
39,2017,1,3,11,46,5,65
40,2017,1,3,14,25,1.6,76
41,2017,1,3,14,46,3,74
42,2017,1,3,17,25,-0.1,77
43,2017,1,3,17,46,1.9,81
44,2017,1,3,20,25,-1.2,91
45,2017,1,3,20,46,0.7,76
46,2017,1,3,23,25,-0.2,86
47,2017,1,3,23,46,-0.3,81
48,2017,1,4,2,25,5,55
49,2017,1,4,2,46,1.5,76
50,2017,1,4,5,25,8.2,51
51,2017,1,4,5,46,6.7,60
52,2017,1,4,8,25,6,54
53,2017,1,4,8,46,7.9,50
54,2017,1,4,11,25,4,65
55,2017,1,4,11,46,5.9,70
56,2017,1,4,14,25,2.9,75
57,2017,1,4,14,46,2.1,85
58,2017,1,4,17,25,2.5,76
59,2017,1,4,17,46,0.1,90
60,2017,1,4,20,25,0.5,81
61,2017,1,4,20,46,-0.2,95
62,2017,1,4,23,25,2.5,75
63,2017,1,4,23,46,-0.8,94
64,2017,1,5,2,25,6,55
65,2017,1,5,2,46,2.4,90
66,2017,1,5,5,25,8,50
67,2017,1,5,5,46,5.8,64
68,2017,1,5,8,25,6,70
69,2017,1,5,8,46,9,50
70,2017,1,5,11,25,3,80
71,2017,1,5,11,46,5,70
72,2017,1,5,14,25,1,85
73,2017,1,5,14,46,3,80
74,2017,1,5,17,25,1,90
75,2017,1,5,17,46,2,80
76,2017,1,5,20,25,0,90
77,2017,1,5,20,46,2,80
78,2017,1,5,23,25,1,85
79,2017,1,5,23,46,2,85
80,2017,1,6,2,25,8,60
81,2017,1,6,2,46,2,85
82,2017,1,6,5,25,9,50
83,2017,1,6,5,46,7,70
84,2017,1,6,8,25,5,70
85,2017,1,6,8,46,10,60
86,2017,1,6,11,25,4,75
87,2017,1,6,11,46,7,75
88,2017,1,6,14,25,3,80
89,2017,1,6,14,46,5,80
90,2017,1,6,17,25,3,80
91,2017,1,6,17,46,3,80
92,2017,1,6,20,25,3,80
93,2017,1,6,20,46,3,76
94,2017,1,6,23,25,3,80
95,2017,1,6,23,46,2,75
96,2017,1,7,2,25,8,70
97,2017,1,7,2,46,2,75
98,2017,1,7,5,25,9,65
99,2017,1,7,5,46,4,60
100,2017,1,7,8,25,6,75
101,2017,1,7,8,46,4,50
102,2017,1,7,11,25,5,80
103,2017,1,7,11,46,1,50
104,2017,1,7,14,25,4,80
105,2017,1,7,14,46,-1,60
106,2017,1,7,17,25,2,80
107,2017,1,7,17,46,-2,70
108,2017,1,7,20,25,3,80
109,2017,1,7,20,46,-3,75
110,2017,1,7,23,25,2,70
111,2017,1,7,23,46,-3,75
112,2017,1,8,2,25,3,60
113,2017,1,8,2,46,-2,75
114,2017,1,8,5,25,4,50
115,2017,1,8,5,46,3,65
116,2017,1,8,8,25,1,55
117,2017,1,8,8,46,2,50
118,2017,1,8,11,25,-1,65
119,2017,1,8,11,46,-2,50
120,2017,1,8,14,25,-3,70
121,2017,1,8,14,46,-4,55
122,2017,1,8,17,25,-3,75
123,2017,1,8,17,46,-5,60
124,2017,1,8,20,25,-3,75
125,2017,1,8,20,46,-6,60
126,2017,1,8,23,25,-2,75
127,2017,1,8,23,46,-6,70
128,2017,1,9,2,25,2,65
129,2017,1,9,2,46,-4,65
130,2017,1,9,5,25,1,50
131,2017,1,9,5,46,3,45
132,2017,1,9,8,25,-2,50
133,2017,1,9,8,46,3,40
134,2017,1,9,11,25,-4,55
135,2017,1,9,11,46,-1,60
136,2017,1,9,14,25,-5,60
137,2017,1,9,14,46,-1,70
138,2017,1,9,17,25,-5,60
139,2017,1,9,17,46,0,70
